Date : 2025-08-27 21:20:44
Directory : /Users/hawkpdx/Development/code/project-dev-resume
Total : 1833 files,  432950 codes, 174622 comments, 83662 blanks, all 691234 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      1,447 |    392,852 |    171,416 |     79,177 |    643,445 |
| JavaScript JSX   |        155 |     11,754 |         34 |      1,263 |     13,051 |
| JSON             |         16 |      9,840 |          0 |         16 |      9,856 |
| C++              |         55 |      6,114 |      2,873 |      1,380 |     10,367 |
| HTML             |         19 |      4,192 |          0 |        279 |      4,471 |
| PostCSS          |         43 |      2,908 |         32 |        436 |      3,376 |
| Markdown         |         25 |      2,372 |          0 |        608 |      2,980 |
| JavaScript       |         42 |      1,405 |         91 |        253 |      1,749 |
| C                |          2 |        476 |          9 |         68 |        553 |
| XML              |          3 |        258 |          1 |          2 |        261 |
| YAML             |          7 |        217 |          0 |         55 |        272 |
| Batch            |          4 |        150 |         26 |         32 |        208 |
| PowerShell       |          1 |        104 |        105 |         33 |        242 |
| Properties       |          4 |         83 |         13 |         14 |        110 |
| reStructuredText |          3 |         69 |          0 |         18 |         87 |
| Shell Script     |          2 |         68 |         22 |         24 |        114 |
| Database         |          1 |         67 |          0 |          0 |         67 |
| Ini              |          3 |         12 |          0 |          3 |         15 |
| pip requirements |          1 |          9 |          0 |          1 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |      1,833 |    432,950 |    174,622 |     83,662 |    691,234 |
| . (Files)                                                                                                                                             |         15 |      9,813 |         28 |         84 |      9,925 |
| .github                                                                                                                                               |          1 |         95 |          0 |         25 |        120 |
| .github/workflows                                                                                                                                     |          1 |         95 |          0 |         25 |        120 |
| .history                                                                                                                                              |        296 |     18,024 |        232 |      2,569 |     20,825 |
| .history (Files)                                                                                                                                      |         57 |      2,981 |         58 |        677 |      3,716 |
| .history/.github                                                                                                                                      |          2 |         95 |          0 |         26 |        121 |
| .history/.github/workflows                                                                                                                            |          2 |         95 |          0 |         26 |        121 |
| .history/__mocks__                                                                                                                                    |          2 |          1 |          0 |          2 |          3 |
| .history/backend                                                                                                                                      |         39 |      1,201 |        102 |        237 |      1,540 |
| .history/backend (Files)                                                                                                                              |         11 |        175 |         22 |         55 |        252 |
| .history/backend/app                                                                                                                                  |         26 |        956 |         66 |        165 |      1,187 |
| .history/backend/app (Files)                                                                                                                          |         10 |        232 |         21 |         71 |        324 |
| .history/backend/app/routes                                                                                                                           |         16 |        724 |         45 |         94 |        863 |
| .history/backend/tests                                                                                                                                |          2 |         70 |         14 |         17 |        101 |
| .history/src                                                                                                                                          |        196 |     13,746 |         72 |      1,627 |     15,445 |
| .history/src (Files)                                                                                                                                  |         46 |      2,542 |         15 |        385 |      2,942 |
| .history/src/components                                                                                                                               |        137 |     10,845 |         31 |      1,152 |     12,028 |
| .history/src/hooks                                                                                                                                    |          2 |         78 |          0 |         18 |         96 |
| .history/src/services                                                                                                                                 |          5 |        142 |         15 |         37 |        194 |
| .history/src/utils                                                                                                                                    |          6 |        139 |         11 |         35 |        185 |
| .history/src/utils (Files)                                                                                                                            |          4 |         69 |         11 |         21 |        101 |
| .history/src/utils/__tests__                                                                                                                          |          2 |         70 |          0 |         14 |         84 |
| __mocks__                                                                                                                                             |          1 |          1 |          0 |          1 |          2 |
| backend                                                                                                                                               |      1,474 |    398,904 |    174,294 |     80,458 |    653,656 |
| backend (Files)                                                                                                                                       |          6 |        106 |         19 |         30 |        155 |
| backend/app                                                                                                                                           |          6 |        271 |         12 |         42 |        325 |
| backend/app (Files)                                                                                                                                   |          2 |         78 |          3 |         15 |         96 |
| backend/app/routes                                                                                                                                    |          4 |        193 |          9 |         27 |        229 |
| backend/instance                                                                                                                                      |          1 |         67 |          0 |          0 |         67 |
| backend/tests                                                                                                                                         |          1 |         70 |         14 |         16 |        100 |
| backend/venv                                                                                                                                          |      1,460 |    398,390 |    174,249 |     80,370 |    653,009 |
| backend/venv (Files)                                                                                                                                  |          1 |          3 |          0 |          1 |          4 |
| backend/venv/bin                                                                                                                                      |          3 |        172 |        127 |         57 |        356 |
| backend/venv/include                                                                                                                                  |          1 |         78 |         51 |         36 |        165 |
| backend/venv/include/site                                                                                                                             |          1 |         78 |         51 |         36 |        165 |
| backend/venv/include/site/python3.8                                                                                                                   |          1 |         78 |         51 |         36 |        165 |
| backend/venv/include/site/python3.8/greenlet                                                                                                          |          1 |         78 |         51 |         36 |        165 |
| backend/venv/lib                                                                                                                                      |      1,455 |    398,137 |    174,071 |     80,276 |    652,484 |
| backend/venv/lib/python3.8                                                                                                                            |      1,455 |    398,137 |    174,071 |     80,276 |    652,484 |
| backend/venv/lib/python3.8/site-packages                                                                                                              |      1,455 |    398,137 |    174,071 |     80,276 |    652,484 |
| backend/venv/lib/python3.8/site-packages (Files)                                                                                                      |          2 |      2,806 |      1,290 |        500 |      4,596 |
| backend/venv/lib/python3.8/site-packages/Flask-2.2.5.dist-info                                                                                        |          1 |         23 |          0 |          6 |         29 |
| backend/venv/lib/python3.8/site-packages/MarkupSafe-2.1.5.dist-info                                                                                   |          1 |         23 |          0 |          6 |         29 |
| backend/venv/lib/python3.8/site-packages/_distutils_hack                                                                                              |          2 |         79 |         19 |         33 |        131 |
| backend/venv/lib/python3.8/site-packages/_pytest                                                                                                      |         68 |     20,114 |      7,342 |      3,934 |     31,390 |
| backend/venv/lib/python3.8/site-packages/_pytest (Files)                                                                                              |         46 |     13,831 |      5,251 |      2,840 |     21,922 |
| backend/venv/lib/python3.8/site-packages/_pytest/_code                                                                                                |          3 |      1,084 |        292 |        203 |      1,579 |
| backend/venv/lib/python3.8/site-packages/_pytest/_io                                                                                                  |          4 |        321 |         87 |         72 |        480 |
| backend/venv/lib/python3.8/site-packages/_pytest/_py                                                                                                  |          3 |      1,102 |        280 |        205 |      1,587 |
| backend/venv/lib/python3.8/site-packages/_pytest/assertion                                                                                            |          4 |      1,370 |        494 |        169 |      2,033 |
| backend/venv/lib/python3.8/site-packages/_pytest/config                                                                                               |          5 |      1,792 |        582 |        297 |      2,671 |
| backend/venv/lib/python3.8/site-packages/_pytest/mark                                                                                                 |          3 |        614 |        356 |        148 |      1,118 |
| backend/venv/lib/python3.8/site-packages/alembic                                                                                                      |         67 |     19,515 |      5,040 |      3,833 |     28,388 |
| backend/venv/lib/python3.8/site-packages/alembic (Files)                                                                                              |         10 |      1,931 |      1,286 |        402 |      3,619 |
| backend/venv/lib/python3.8/site-packages/alembic/autogenerate                                                                                         |          5 |      2,478 |        420 |        455 |      3,353 |
| backend/venv/lib/python3.8/site-packages/alembic/ddl                                                                                                  |          9 |      2,916 |        324 |        525 |      3,765 |
| backend/venv/lib/python3.8/site-packages/alembic/operations                                                                                           |          6 |      3,975 |      1,309 |        689 |      5,973 |
| backend/venv/lib/python3.8/site-packages/alembic/runtime                                                                                              |          3 |      1,515 |        628 |        302 |      2,445 |
| backend/venv/lib/python3.8/site-packages/alembic/script                                                                                               |          4 |      2,132 |        522 |        327 |      2,981 |
| backend/venv/lib/python3.8/site-packages/alembic/templates                                                                                            |          3 |        147 |        100 |         63 |        310 |
| backend/venv/lib/python3.8/site-packages/alembic/templates/async                                                                                      |          1 |         39 |         28 |         23 |         90 |
| backend/venv/lib/python3.8/site-packages/alembic/templates/generic                                                                                    |          1 |         34 |         29 |         16 |         79 |
| backend/venv/lib/python3.8/site-packages/alembic/templates/multidb                                                                                    |          1 |         74 |         43 |         24 |        141 |
| backend/venv/lib/python3.8/site-packages/alembic/testing                                                                                              |         19 |      3,358 |        345 |        789 |      4,492 |
| backend/venv/lib/python3.8/site-packages/alembic/testing (Files)                                                                                      |          8 |        970 |        305 |        319 |      1,594 |
| backend/venv/lib/python3.8/site-packages/alembic/testing/plugin                                                                                       |          2 |          0 |          4 |          2 |          6 |
| backend/venv/lib/python3.8/site-packages/alembic/testing/suite                                                                                        |          9 |      2,388 |         36 |        468 |      2,892 |
| backend/venv/lib/python3.8/site-packages/alembic/util                                                                                                 |          8 |      1,063 |        106 |        281 |      1,450 |
| backend/venv/lib/python3.8/site-packages/click                                                                                                        |         16 |      5,227 |      3,622 |      1,372 |     10,221 |
| backend/venv/lib/python3.8/site-packages/dotenv                                                                                                       |          8 |        608 |        190 |        147 |        945 |
| backend/venv/lib/python3.8/site-packages/exceptiongroup                                                                                               |          6 |        938 |         78 |        187 |      1,203 |
| backend/venv/lib/python3.8/site-packages/flask                                                                                                        |         22 |      4,371 |      3,910 |      1,282 |      9,563 |
| backend/venv/lib/python3.8/site-packages/flask (Files)                                                                                                |         19 |      3,965 |      3,515 |      1,116 |      8,596 |
| backend/venv/lib/python3.8/site-packages/flask/json                                                                                                   |          3 |        406 |        395 |        166 |        967 |
| backend/venv/lib/python3.8/site-packages/flask_cors                                                                                                   |          5 |        295 |        350 |        108 |        753 |
| backend/venv/lib/python3.8/site-packages/flask_migrate                                                                                                |          6 |        759 |        186 |        202 |      1,147 |
| backend/venv/lib/python3.8/site-packages/flask_migrate (Files)                                                                                        |          2 |        401 |         38 |         80 |        519 |
| backend/venv/lib/python3.8/site-packages/flask_migrate/templates                                                                                      |          4 |        358 |        148 |        122 |        628 |
| backend/venv/lib/python3.8/site-packages/flask_migrate/templates/aioflask                                                                             |          1 |         57 |         34 |         28 |        119 |
| backend/venv/lib/python3.8/site-packages/flask_migrate/templates/aioflask-multidb                                                                     |          1 |        127 |         40 |         36 |        203 |
| backend/venv/lib/python3.8/site-packages/flask_migrate/templates/flask                                                                                |          1 |         54 |         34 |         26 |        114 |
| backend/venv/lib/python3.8/site-packages/flask_migrate/templates/flask-multidb                                                                        |          1 |        120 |         40 |         32 |        192 |
| backend/venv/lib/python3.8/site-packages/flask_sqlalchemy                                                                                             |         10 |        965 |        839 |        329 |      2,133 |
| backend/venv/lib/python3.8/site-packages/flask_sqlalchemy-3.0.5.dist-info                                                                             |          1 |         23 |          0 |          6 |         29 |
| backend/venv/lib/python3.8/site-packages/greenlet                                                                                                     |         81 |      8,997 |      3,602 |      2,099 |     14,698 |
| backend/venv/lib/python3.8/site-packages/greenlet (Files)                                                                                             |         30 |      4,967 |      2,006 |      1,119 |      8,092 |
| backend/venv/lib/python3.8/site-packages/greenlet/platform                                                                                            |         26 |        929 |        820 |        210 |      1,959 |
| backend/venv/lib/python3.8/site-packages/greenlet/tests                                                                                               |         25 |      3,101 |        776 |        770 |      4,647 |
| backend/venv/lib/python3.8/site-packages/gunicorn                                                                                                     |         34 |      5,949 |        799 |      1,398 |      8,146 |
| backend/venv/lib/python3.8/site-packages/gunicorn (Files)                                                                                             |         12 |      3,540 |        399 |        771 |      4,710 |
| backend/venv/lib/python3.8/site-packages/gunicorn/app                                                                                                 |          4 |        244 |         62 |         84 |        390 |
| backend/venv/lib/python3.8/site-packages/gunicorn/http                                                                                                |          7 |        917 |        106 |        259 |      1,282 |
| backend/venv/lib/python3.8/site-packages/gunicorn/instrument                                                                                          |          2 |         88 |         20 |         27 |        135 |
| backend/venv/lib/python3.8/site-packages/gunicorn/workers                                                                                             |          9 |      1,160 |        212 |        257 |      1,629 |
| backend/venv/lib/python3.8/site-packages/importlib_metadata                                                                                           |         12 |        766 |        789 |        286 |      1,841 |
| backend/venv/lib/python3.8/site-packages/importlib_metadata (Files)                                                                                   |          9 |        740 |        771 |        269 |      1,780 |
| backend/venv/lib/python3.8/site-packages/importlib_metadata/compat                                                                                    |          3 |         26 |         18 |         17 |         61 |
| backend/venv/lib/python3.8/site-packages/importlib_resources                                                                                          |         30 |      1,649 |        549 |        577 |      2,775 |
| backend/venv/lib/python3.8/site-packages/importlib_resources (Files)                                                                                  |          8 |        516 |        304 |        209 |      1,029 |
| backend/venv/lib/python3.8/site-packages/importlib_resources/compat                                                                                   |          3 |         13 |          1 |         10 |         24 |
| backend/venv/lib/python3.8/site-packages/importlib_resources/future                                                                                   |          2 |         53 |         26 |         18 |         97 |
| backend/venv/lib/python3.8/site-packages/importlib_resources/tests                                                                                    |         17 |      1,067 |        218 |        340 |      1,625 |
| backend/venv/lib/python3.8/site-packages/importlib_resources/tests (Files)                                                                            |         14 |      1,049 |        212 |        330 |      1,591 |
| backend/venv/lib/python3.8/site-packages/importlib_resources/tests/compat                                                                             |          3 |         18 |          6 |         10 |         34 |
| backend/venv/lib/python3.8/site-packages/iniconfig                                                                                                    |          4 |        268 |         13 |         62 |        343 |
| backend/venv/lib/python3.8/site-packages/itsdangerous                                                                                                 |          8 |        650 |        340 |        217 |      1,207 |
| backend/venv/lib/python3.8/site-packages/jinja2                                                                                                       |         25 |      8,413 |      3,803 |      2,234 |     14,450 |
| backend/venv/lib/python3.8/site-packages/mako                                                                                                         |         33 |      5,166 |      2,116 |      1,297 |      8,579 |
| backend/venv/lib/python3.8/site-packages/mako (Files)                                                                                                 |         17 |      4,397 |      1,893 |      1,066 |      7,356 |
| backend/venv/lib/python3.8/site-packages/mako/ext                                                                                                     |          9 |        371 |        179 |         85 |        635 |
| backend/venv/lib/python3.8/site-packages/mako/testing                                                                                                 |          7 |        398 |         44 |        146 |        588 |
| backend/venv/lib/python3.8/site-packages/markupsafe                                                                                                   |          4 |        496 |        101 |        131 |        728 |
| backend/venv/lib/python3.8/site-packages/packaging                                                                                                    |         16 |      3,272 |      1,817 |        646 |      5,735 |
| backend/venv/lib/python3.8/site-packages/packaging (Files)                                                                                            |         14 |      2,443 |      1,771 |        615 |      4,829 |
| backend/venv/lib/python3.8/site-packages/packaging/licenses                                                                                           |          2 |        829 |         46 |         31 |        906 |
| backend/venv/lib/python3.8/site-packages/pip                                                                                                          |        517 |    135,263 |     34,624 |     18,194 |    188,081 |
| backend/venv/lib/python3.8/site-packages/pip (Files)                                                                                                  |          2 |         19 |         17 |         10 |         46 |
| backend/venv/lib/python3.8/site-packages/pip/_internal                                                                                                |        142 |     18,497 |      5,556 |      4,309 |     28,362 |
| backend/venv/lib/python3.8/site-packages/pip/_internal (Files)                                                                                        |          9 |      1,481 |        477 |        400 |      2,358 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/cli                                                                                            |         12 |      2,028 |        418 |        448 |      2,894 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/commands                                                                                       |         17 |      2,444 |        282 |        501 |      3,227 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/distributions                                                                                  |          5 |        148 |         54 |         38 |        240 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/index                                                                                          |          4 |      1,163 |        419 |        262 |      1,844 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/locations                                                                                      |          4 |        602 |        205 |        157 |        964 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/metadata                                                                                       |          3 |        507 |        239 |        121 |        867 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/models                                                                                         |         11 |        677 |        205 |        191 |      1,073 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/network                                                                                        |          8 |        853 |        330 |        224 |      1,407 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/operations                                                                                     |         15 |      1,590 |        358 |        358 |      2,306 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/operations (Files)                                                                             |          4 |        735 |        160 |        154 |      1,049 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/operations/build                                                                               |          7 |        241 |         41 |         64 |        346 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/operations/install                                                                             |          4 |        614 |        157 |        140 |        911 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/req                                                                                            |          7 |      2,028 |        500 |        403 |      2,931 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/resolution                                                                                     |         13 |      1,931 |        521 |        410 |      2,862 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/resolution (Files)                                                                             |          2 |         15 |          0 |          7 |         22 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/resolution/legacy                                                                              |          2 |        281 |        130 |         58 |        469 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/resolution/resolvelib                                                                          |          9 |      1,635 |        391 |        345 |      2,371 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/utils                                                                                          |         28 |      2,076 |        859 |        614 |      3,549 |
| backend/venv/lib/python3.8/site-packages/pip/_internal/vcs                                                                                            |          6 |        969 |        689 |        182 |      1,840 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor                                                                                                  |        373 |    116,747 |     29,051 |     13,875 |    159,673 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor (Files)                                                                                          |          4 |      2,574 |      1,646 |        575 |      4,795 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/cachecontrol                                                                                     |         13 |        780 |        317 |        284 |      1,381 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/cachecontrol (Files)                                                                             |         10 |        669 |        275 |        241 |      1,185 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/cachecontrol/caches                                                                              |          3 |        111 |         42 |         43 |        196 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/certifi                                                                                          |          3 |         41 |         31 |         22 |         94 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/chardet                                                                                          |         43 |     36,105 |      1,493 |        507 |     38,105 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/chardet (Files)                                                                                  |         39 |     35,820 |      1,401 |        485 |     37,706 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/chardet/cli                                                                                      |          2 |         43 |         31 |         13 |         87 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/chardet/metadata                                                                                 |          2 |        242 |         61 |          9 |        312 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/colorama                                                                                         |          6 |        579 |         70 |        124 |        773 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/distlib                                                                                          |         19 |      9,747 |      3,229 |      1,770 |     14,746 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/distlib (Files)                                                                                  |         13 |      7,049 |      2,199 |      1,204 |     10,452 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/distlib/_backport                                                                                |          6 |      2,698 |      1,030 |        566 |      4,294 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/html5lib                                                                                         |         33 |     10,494 |      1,390 |      1,392 |     13,276 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/html5lib (Files)                                                                                 |          8 |      7,682 |        783 |        829 |      9,294 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/html5lib/_trie                                                                                   |          3 |         77 |          2 |         36 |        115 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/html5lib/filters                                                                                 |          8 |      1,094 |        186 |         96 |      1,376 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/html5lib/treeadapters                                                                            |          3 |         82 |         32 |         23 |        137 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/html5lib/treebuilders                                                                            |          5 |      1,003 |        222 |        259 |      1,484 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/html5lib/treewalkers                                                                             |          6 |        556 |        165 |        149 |        870 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/idna                                                                                             |          8 |     11,036 |         37 |        206 |     11,279 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/msgpack                                                                                          |          5 |        851 |        312 |        150 |      1,313 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/packaging                                                                                        |         11 |      1,423 |      1,107 |        409 |      2,939 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pep517                                                                                           |         11 |        954 |        362 |        263 |      1,579 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pep517 (Files)                                                                                   |          9 |        721 |        279 |        197 |      1,197 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pep517/in_process                                                                                |          2 |        233 |         83 |         66 |        382 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pkg_resources                                                                                    |          2 |      1,828 |        966 |        527 |      3,321 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/platformdirs                                                                                     |          8 |        597 |        309 |        185 |      1,091 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/progress                                                                                         |          5 |        286 |         73 |         99 |        458 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pygments                                                                                         |         35 |      6,316 |      2,886 |      1,051 |     10,253 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pygments (Files)                                                                                 |         16 |      2,000 |        775 |        450 |      3,225 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pygments/filters                                                                                 |          1 |        756 |        130 |         52 |        938 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pygments/formatters                                                                              |         14 |      1,753 |      1,705 |        426 |      3,884 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pygments/lexers                                                                                  |          3 |      1,735 |        263 |        114 |      2,112 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pygments/styles                                                                                  |          1 |         72 |         13 |          9 |         94 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pyparsing                                                                                        |         11 |      3,986 |      5,481 |        879 |     10,346 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pyparsing (Files)                                                                                |         10 |      3,619 |      5,334 |        799 |      9,752 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/pyparsing/diagram                                                                                |          1 |        367 |        147 |         80 |        594 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/requests                                                                                         |         18 |      2,479 |      1,938 |        804 |      5,221 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/resolvelib                                                                                       |          7 |        455 |        260 |        147 |        862 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/resolvelib (Files)                                                                               |          5 |        450 |        260 |        144 |        854 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/resolvelib/compat                                                                                |          2 |          5 |          0 |          3 |          8 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/rich                                                                                             |         74 |     17,464 |      3,476 |      2,145 |     23,085 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/tenacity                                                                                         |         11 |        785 |        343 |        307 |      1,435 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/tomli                                                                                            |          3 |        614 |         59 |        122 |        795 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/urllib3                                                                                          |         38 |      6,592 |      3,015 |      1,804 |     11,411 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/urllib3 (Files)                                                                                  |         11 |      2,349 |      1,290 |        695 |      4,334 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/urllib3/contrib                                                                                  |         10 |      1,892 |        684 |        479 |      3,055 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/urllib3/contrib (Files)                                                                          |          7 |      1,294 |        514 |        328 |      2,136 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/urllib3/contrib/_securetransport                                                                 |          3 |        598 |        170 |        151 |        919 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/urllib3/packages                                                                                 |          4 |        773 |        144 |        215 |      1,132 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/urllib3/packages (Files)                                                                         |          2 |        735 |        133 |        211 |      1,079 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/urllib3/packages/backports                                                                       |          2 |         38 |         11 |          4 |         53 |
| backend/venv/lib/python3.8/site-packages/pip/_vendor/urllib3/util                                                                                     |         13 |      1,578 |        897 |        415 |      2,890 |
